,text,translated
0,冷却进水,охлаждающая冷水进水
1,蝶阀,дисковый阀
2,"回
热","обратный
тепловой"
3,沉淀池,отстойник
4,1M*1M*0.24M,1M*1M*0.24M
5,φ273镀锌管,φ273镀锌管
6,1#井,1#井
7,泄压,разгрузка
8,φ273镀锌管,φ273镀锌管
9,"此处低于井口平面400
mm",здесь на 400mm低于井口平面
10,"预埋件300
mm
*
300
mm
*
16
mm",预埋件 300 мм
11,此区域低于炉眼1.1米,"Эта зона ниже горловины на 1,1 м"
12,584双室过滤箱,584 двухкамерный фильтр
13,陶瓷流槽280*280,Керамический лоток 280*280
14,35吨平炉(砖混结构）,35-тонная плоская печь (кирпично-бетонное строение)
15,35吨平炉(砖混结构）,35-тонная плоская печь (кирпично-бетонное строение)
16,燃烧系统,Система сгорания
17,燃烧系统,Система сгорания
18,铝灰处理车间,Цех обработки алюминиевых отходов
19,水泵,Насос
20,φ273镀锌管,φ273 оцинкованная трубы
21,φ273镀锌管,φ273 оцинкованная труба
22,底部过水孔1米*1米,нижний водопропускной отверстие 1 м * 1 м
23,冷却水池10米*20米，深5米,"холодильный бассейн 10 м * 20 м, глубина 5 м"
24,400立方冷却塔一个,400 куб.м холодильная башня одна
25,"水泵75KW,流量550方，扬程20米","насос 75 КВт, расход 550 куб./час, напор 20 м"
26,4台炒灰机，2个冷灰桶,"4 установки для обжарки пепла, 2 холодильных бака для пепла"
27,除尘放置区,область размещения пылеуловителей
28,上料区,зона подачи сырья
29,锯棒区,область обработки стружки
30,"注明：以车间正负零为准,低炉基础下挖1.2米混凝土浇筑60公分厚，浇筑完后，比车间正负零低60公分。
高炉基础，也是以车间正负零为准，下挖40公分，混凝土浇筑60公分厚，浇筑完后比车间正负零高出20公分。","по цеху нулевому уровню, нижний фундамент котельной выкопан на 1,2 м бетон уложен толщиной 60 см, после укладки ниже по цеху нулевого уровня на 60 см.
по цеху нулевому уровню, нижний фундамент коксовой печи также выкопан на 40 см, бетон уложен толщиной 60 см, после укладки выше по цеху нулевого уровня на 20 см."
31,"起吊高度13米,车间总高度17米,车间顶部留排气天窗，10吨天车1台,5吨天车1台","подъемная высота 13 м, общая высота цеха 17 м, в верхней части цеха оставлены вытяжные окна для отработанного воздуха, кран грузоподъемностью 10 т 1 шт., кран грузоподъемностью 5 т 1 шт."
32,模具放置区,зона размещения форм
33,此处低于放水口1.1米,"здесь ниже сливного отверстия на 1,1 м"
34,516.29,"516.29
@@"
35,517.13,517.13
36,516.98,516.98
37,517.94,517.94
38,515.30,515.30
39,516.27,516.27
40,516.71,"516,71"
41,514.34,"514,34"
42,514.13,"514,13"
43,520.17,"520,17"
44,512.97,"512,97"
45,513.15,"513,15"
46,514.16,"514,16"
47,515.30,"515,30"
48,512.86,"512,86"
49,514.30,"514,30"
50,513.91,"513,91"
51,513.87,"513,87"
52,513.53,"513,53"
53,512.94,"512,94"
54,512.73,"512,73"
55,514.99,"514,99"
56,516.92,"516,92"
57,516.85,"516,85"
58,521.04,"521,04"
59,519.13,"519,13"
60,514.29,"514,29"
61,514.83,"514,83"
62,512.82,"512,82"
63,517.88,"517,88"
64,514.22,"514,22"
65,515.41,"515,41"
66,516.07,"516,07"
67,515.46,"515,46"
68,513.44,"513,44"
69,515.47,"515,47"
70,513.97,"513,97"
71,514.22,"514,22"
72,513.14,"513,14"
73,514.46,"514,46"
74,513.23,"513,23"
75,512.86,"512,86"
76,515.45,"515,45"
77,512.99,"512,99"
78,518.47,"518,47"
79,513.22,"513,22"
80,515.30,515.30
81,514.68,514.68
82,519.61,519.61
83,515.36,515.36
84,513.65,513.65
85,515.49,515.49
86,516.12,516.12
87,515.39,515.39
88,516.05,516.05
89,514.04,514.04
90,515.50,"515,50"
91,514.50,"514,50"
92,518.24,"518,24"
93,517.21,"517,21"
94,514.17,"514,17"
95,516.55,"516,55"
96,514.11,"514,11"
97,514.68,"514,68"
98,518.65,"518,65"
99,519.40,"519,40"
100,514.75,"514,75"
101,515.95,"515,95"
102,515.33,"515,33"
103,515.08,"515,08"
104,514.34,"514,34"
105,514.97,"514,97"
106,515.54,"515,54"
107,515.51,"515,51"
108,512.86,"512,86"
109,513.89,"513,89"
110,514.15,514.15
111,514.99,514.99
112,515.66,515.66
113,513.04,513.04
114,518.78,518.78
115,512.24,512.24
116,517.46,517.46
117,516.02,516.02
118,519.11,519.11
119,518.94,518.94
120,514.75,"514,75"
121,513.26,"513,26"
122,515.63,"515,63"
123,515.98,"515,98"
124,517.10,"517,10"
125,517.17,"517,17"
126,518.57,"518,57"
127,516.90,"516,90"
128,516.83,"516,83"
129,516.54,"516,54"
130,515.55,"515,55"
131,517.06,"517,06"
132,516.47,"516,47"
133,515.12,"515,12"
134,514.41,"514,41"
135,513.65,"513,65"
136,514.90,"514,90"
137,513.94,"513,94"
138,514.29,"514,29"
139,517.30,"517,30"
140,518.33,"518,33"
141,518.19,"518,19"
142,516.04,"516,04"
143,516.08,"516,08"
144,514.12,"514,12"
145,517.32,"517,32"
146,518.07,"518,07"
147,512.79,"512,79"
148,512.71,"512,71"
149,512.67,"512,67"
150,517.37,"517,37"
151,514.32,"514,32"
152,514.10,"514,10"
153,513.82,"513,82"
154,514.94,"514,94"
155,516.23,"516,23"
156,515.48,"515,48"
157,516.22,"516,22"
158,516.38,"516,38"
159,663750,663750
160,4848300,4848300
161,663750,663750
162,4848350,4848350
163,663750,663750
164,4848400,4848400
165,663750,663750
166,4848450,4848450
167,663750,663750
168,4848550,4848550
169,663750,663750
170,4848500,4848500
171,663750,663750
172,4848600,4848600
173,УСЛОВНЫЕ ОБОЗНАЧЕНИЯ:,УСЛОВНЫЕ ОБОЗНАЧЕНИЯ:
174,-,-
175,Наружная водоснабжения,Наружное водоснабжение
176,В,В
177,- Канализация,- Канализация
178,К,К
179,Г,Г
180,-,-
181,Газоснабжение,Газоснабжение
182,W,W
183,-,-
184,Наружная электроснабжения,Наружное электроснабжение
185,-,-
186,ЭС,ЭС
187,W,W
188,-,-
189,Граница участка,Граница участка
190,1#,1#
191,3#,3#
192,4#,4 этаж
193,3F,4 этаж
194,3F,S=1890 мм
195,S=1890,S=1890 мм
196,S=1890,S=240 мм
197,S=240,S=72 мм
198,S=72,S=72 мм
199,S=72,""""
200,S=72,S=72
201,S=7395,S=7395
202,H=11m,H=11м
203,1F,1F
204,S=11000,S=11000
205,H=11m,H=11м
206,1F,1F
207,S=9385,S=9385
208,H=10.2m,"H=10,2м"
209,1F,1F
210,冷却进水,охлаждающая冷水进水
211,蝶阀,дисковый阀
212,"回
热","обратный
тепловой"
213,沉淀池,отстойник
214,1M*1M*0.24M,1M*1M*0.24M
215,φ273镀锌管,φ273镀锌管
216,1#井,1#井
217,泄压,разгрузка
218,φ273镀锌管,φ273镀锌管
219,"此处低于井口平面400
mm",здесь на 400mm低于井口平面
220,"预埋件300
mm
*
300
mm
*
16
mm",预埋件 300 мм
221,此区域低于炉眼1.1米,"Эта зона ниже горловины на 1,1 м"
222,584双室过滤箱,584 двухкамерный фильтр
223,陶瓷流槽280*280,Керамический лоток 280*280
224,35吨平炉(砖混结构）,35-тонная плоская печь (кирпично-бетонное строение)
225,35吨平炉(砖混结构）,35-тонная плоская печь (кирпично-бетонное строение)
226,燃烧系统,Система сгорания
227,燃烧系统,Система сгорания
228,铝灰处理车间,Цех обработки алюминиевых отходов
229,水泵,Насос
230,φ273镀锌管,φ273 оцинкованная трубы
231,φ273镀锌管,φ273 оцинкованная труба
232,底部过水孔1米*1米,нижний водопропускной отверстие 1 м * 1 м
233,冷却水池10米*20米，深5米,"холодильный бассейн 10 м * 20 м, глубина 5 м"
234,400立方冷却塔一个,400 куб.м холодильная башня одна
235,"水泵75KW,流量550方，扬程20米","насос 75 КВт, расход 550 куб./час, напор 20 м"
236,4台炒灰机，2个冷灰桶,"4 установки для обжарки пепла, 2 холодильных бака для пепла"
237,除尘放置区,область размещения пылеуловителей
238,上料区,зона подачи сырья
239,锯棒区,область обработки стружки
240,"注明：以车间正负零为准,低炉基础下挖1.2米混凝土浇筑60公分厚，浇筑完后，比车间正负零低60公分。
高炉基础，也是以车间正负零为准，下挖40公分，混凝土浇筑60公分厚，浇筑完后比车间正负零高出20公分。","цех正负零为准,低炉фундамент下挖1.2米бетон浇筑60公分厚，浇筑完后，比цех正负零低60公分。"
241,"起吊高度13米,车间总高度17米,车间顶部留排气天窗，10吨天车1台,5吨天车1台","высота подъема крана 13 м, цеховая высота 17 м, в цеху оставлен выхлопное окно. Кран грузоподъемностью 10 т - 1 шт., кран грузоподъемностью 5 т - 1 шт."
242,模具放置区,зона размещения форм
243,此处低于放水口1.1米,здесь ниже сливного отверстия на 1.1 м
244,门,дверь
245,门,дверь
246,门,дверь
247,门,дверь
248,门,дверь
249,回水管600,возвратный трубопровод 600
250,进水管273,водопроводная труба 273
